mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__objective,param_classifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.919111728668213,0.10391739800023578,0.017800092697143555,0.002226233571089573,0.7,0.01,7,3,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.9540278788426092,0.90749833906507,0.8713615413364544,0.8840449189627745,0.8688498888421641,0.8971565134098144,0.03155904007316182,64
2.0340575695037844,0.068948531997572,0.017798900604248047,0.0011662206425019272,0.7,0.01,7,3,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9547077853470899,0.902049496677688,0.8791050023791341,0.8800472742109409,0.8790993295747958,0.8990017776379297,0.02920174717720436,58
2.5828002452850343,0.06094420415213284,0.017199945449829102,0.0011661879890957898,0.7,0.01,8,1,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 8, 'classifier__min_child_weight': 1, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.957132871201854,0.9055636634937919,0.8813572729718135,0.8860520136043303,0.8714576768823791,0.9003126996308337,0.0305004662995047,47
2.573999357223511,0.09058718159108974,0.018200111389160157,0.0029927585468135323,0.7,0.01,8,1,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 8, 'classifier__min_child_weight': 1, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9569562039622066,0.8988711848312372,0.8835752632065457,0.8867201145481403,0.8805706720861248,0.9013386877268509,0.02849543503389011,35
2.1057992935180665,0.06581071082688927,0.01620030403137207,0.00039994757505870703,0.7,0.01,8,2,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 8, 'classifier__min_child_weight': 2, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.9581910407969761,0.9084951357678014,0.8722021180071933,0.8832862526730973,0.8727629983041743,0.8989875091098485,0.032394952465183494,60
2.7138649940490724,0.24944626124016825,0.020000219345092773,0.0021907754990920744,0.7,0.01,8,2,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 8, 'classifier__min_child_weight': 2, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9585664209218786,0.8988410317367874,0.8834850120174891,0.8798769985883494,0.8809820401466693,0.9003503006822348,0.02990022784211717,46
2.9085268497467043,0.2582848332782933,0.017599773406982423,0.001356184912142788,0.7,0.01,8,3,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 8, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.9540664444619823,0.907138892623843,0.8708541895317075,0.8835828680804872,0.8690469750729016,0.8969378739541843,0.03163653383513102,65
3.7888283252716066,0.26392405019211834,0.03279986381530762,0.01499940249071658,0.7,0.01,8,3,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 8, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9546897750474296,0.9026217863386955,0.8766866074652838,0.8801839934478538,0.880765926565941,0.8989896177730408,0.029321933309864413,59
3.7284497737884523,0.5933273056013902,0.019401025772094727,0.0035556451128799806,0.7,0.015,6,1,500,reg:squarederror,0.8,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.015, 'classifier__max_depth': 6, 'classifier__min_child_weight': 1, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.8}",0.9588252512752867,0.9055601305934121,0.8897819144157477,0.8917856894910721,0.8732063006517228,0.9038318572854482,0.029351988291924157,16
2.684020757675171,0.1442650717039794,0.019598627090454103,0.00440979398503259,0.7,0.015,6,1,500,reg:squarederror,0.9,"{'classifier__colsample_bytree': 0.7, 'classifier__learning_rate': 0.015, 'classifier__max_depth': 6, 'classifier__min_child_weight': 1, 'classifier__n_estimators': 500, 'classifier__objective': 'reg:squarederror', 'classifier__subsample': 0.9}",0.9573337873301601,0.9031877078045497,0.8855943349625652,0.8914290005460498,0.8883101506004986,0.9051709962487647,0.026762908793466107,5
